what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1304091812516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1304091812516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091819574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1304091841166
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.15,"org.tigris.subversion.clientadapter.javahl",1304091842702
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1304091842703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091847829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091866605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091870088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091870164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091877368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091877684
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1304091890116
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1304091890126
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091891470
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1304091891950
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1304091891969
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'C:\\Users\\PatrickF\\eclipse workspaces\\swag workspace\\swag\\bin\\models\\.svn' containing working copy admin area is missing\n",1304091894242
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'C:\\Users\\PatrickF\\eclipse workspaces\\swag workspace\\swag\\bin\\META-INF\\.svn' containing working copy admin area is missing\n",1304091894246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091897100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091900171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091900228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091905274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091905575
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1304091912326
started,bundle,org.eclipse.pde,3.6.1.v201102101200,"org.eclipse.pde",1304091912866
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1304091912889
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1304091912894
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1304091913841
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1304091913852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304091914359
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1304091914990
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1304091914991
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1304091920145
started,bundle,org.eclipse.pde.build,3.6.2.R36x_20110203,"org.eclipse.pde.build",1304091921214
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'C:\\Users\\PatrickF\\eclipse workspaces\\swag workspace\\swag.model\\bin\\workflow\\.svn' containing working copy admin area is missing\n",1304091921291
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'C:\\Users\\PatrickF\\eclipse workspaces\\swag workspace\\swag.model\\bin\\template\\.svn' containing working copy admin area is missing\n",1304091921299
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'C:\\Users\\PatrickF\\eclipse workspaces\\swag workspace\\swag.model\\bin\\metamodel\\.svn' containing working copy admin area is missing\n",1304091921302
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1304091967490
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304091967524
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1304091971472
opened,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1304091973909
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1304091973992
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1304092015650
started,bundle,org.eclipse.amalgam.discovery.modeling,1.1.0.v201006150414,"org.eclipse.amalgam.discovery.modeling",1304092029669
started,bundle,org.eclipse.amalgam.discovery.ui,1.1.0.v201006150414,"org.eclipse.amalgam.discovery.ui",1304092029674
started,bundle,org.eclipse.amalgam.discovery.core,1.1.0.v201006150414,"org.eclipse.amalgam.discovery.core",1304092029769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304092030709
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1304092049575
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1304092049598
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1304092049727
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1304092049743
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1304092049760
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1304092049770
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1304092049773
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1304092069321
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304092109281
executed,command,org.eclipse.amalgam.discovery.modeling,1.1.0.v201006150414,"org.eclipse.amalgam.discovery.modeling.commands.discoveryCommand",1304092109373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304092109702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304092213789
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304092213925
